Table 8,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2017",,,,,,,,,,,
State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Addison Township,"6,542",2,0,0,0,2,26,12,9,5,0
Adrian Township,"6,289",5,0,1,0,4,18,4,13,1,0
Akron,387,1,0,1,0,0,8,0,8,0,0
Albion,"8,293",104,0,12,8,84,312,69,228,15,2
Allegan,"5,085",12,0,3,0,9,82,3,77,2,1
Allen Park,"27,062",45,0,8,10,27,626,50,516,60,2
Alma,"9,113",30,0,12,3,15,113,15,96,2,2
Almont,"2,780",14,0,0,0,14,40,10,27,3,0
Alpena,"10,066",48,0,25,0,23,239,37,198,4,0
Ann Arbor,"121,930",259,0,57,53,149,"2,108",278,"1,731",99,7
Argentine Township,"6,544",4,0,0,0,4,60,20,38,2,0
Armada,"1,742",0,0,0,0,0,2,0,1,1,0
Auburn Hills,"23,034",63,0,11,8,44,656,45,585,26,0
Au Gres,848,0,0,0,0,0,2,0,2,0,0
Bad Axe,"2,956",7,0,3,1,3,115,5,107,3,0
Bancroft,515,0,0,0,0,0,5,2,3,0,0
Bangor,"1,839",10,0,3,0,7,62,15,45,2,1
Baroda-Lake Township,"3,762",15,0,6,0,9,51,15,33,3,1
Barryton,360,0,0,0,0,0,4,1,3,0,0
Barry Township,"3,431",7,0,4,0,3,13,5,6,2,0
Bath Township,"12,759",19,0,7,5,7,123,41,78,4,2
Battle Creek,"60,852",580,3,73,72,432,"2,251",501,"1,656",94,24
Bay City,"33,286",242,1,57,35,149,998,223,716,59,10
Beaverton,"1,044",2,0,0,0,2,9,2,7,0,0
Belding,"5,772",16,0,4,2,10,85,17,65,3,1
Bellaire,"1,061",0,0,0,0,0,8,0,8,0,0
Belleville,"3,832",16,0,5,1,10,83,10,66,7,0
Bellevue,"1,298",1,0,0,0,1,6,1,5,0,0
Benton Harbor,"9,899",218,3,23,36,156,392,131,228,33,10
Benton Township,"14,354",180,1,23,32,124,837,118,672,47,3
Berkley,"15,322",7,0,1,1,5,104,12,84,8,0
Berrien Springs-Oronoko Township,"9,039",8,0,6,0,2,73,11,60,2,0
Beverly Hills,"10,504",1,0,1,0,0,69,5,64,0,0
Big Rapids,"10,437",24,0,7,1,16,143,23,119,1,8
Birch Run,"1,452",1,0,0,0,1,116,3,113,0,0
Birmingham,"21,162",10,0,3,4,3,194,10,179,5,0
Blackman Township,"36,908",127,0,33,9,85,"1,140",150,947,43,5
Blissfield,"3,229",6,0,0,0,6,27,5,21,1,0
Bloomfield Hills,"4,021",1,0,1,0,0,42,9,30,3,0
Bloomfield Township,"42,291",14,0,2,1,11,360,52,284,24,1
Boyne City,"3,741",11,0,5,0,6,57,3,47,7,0
Brandon Township,"15,752",13,1,4,0,8,60,15,41,4,1
Breckenridge,"1,296",0,0,0,0,0,19,0,18,1,0
Bridgeport Township,"9,909",41,0,3,4,34,109,45,59,5,3
Bridgman,"2,247",9,1,5,0,3,21,3,14,4,0
Brighton,"7,631",8,0,6,0,2,106,8,95,3,2
Bronson,"2,315",4,0,2,0,2,43,7,34,2,0
Brown City,"1,246",2,0,0,0,2,13,1,11,1,0
Brownstown Township,"31,102",85,0,15,11,59,333,75,223,35,0
Buchanan,"4,314",16,0,6,1,9,88,15,69,4,0
Buena Vista Township,"8,084",88,2,8,5,73,174,85,75,14,2
Burton,"28,439",133,2,22,21,88,655,111,493,51,2
Cadillac,"10,473",85,0,35,1,49,228,24,194,10,14
Calumet,702,2,0,1,0,1,14,0,14,0,0
Cambridge Township,"5,643",7,0,4,0,3,38,8,29,1,0
Canton Township,"90,294",117,0,31,15,71,"1,144",94,993,57,3
Capac,"1,834",3,0,2,0,1,20,4,16,0,0
Carleton,"2,342",6,0,1,0,5,36,2,32,2,0
Caro,"4,037",10,0,2,0,8,118,11,103,4,1
Carrollton Township,"5,728",12,0,1,1,10,64,25,37,2,1
Carson City,"1,107",1,0,0,1,0,11,1,10,0,0
Caseville,732,1,0,0,0,1,13,1,12,0,0
Caspian-Gaastra,"1,173",2,0,0,0,2,2,0,2,0,0
Cass City,"2,322",3,0,2,0,1,38,3,33,2,1
Cassopolis,"1,717",7,0,1,1,5,25,4,20,1,0
Center Line,"8,304",28,0,7,7,14,225,36,159,30,1
Central Lake,929,0,0,0,0,0,6,1,5,0,0
Charlevoix,"2,515",9,0,3,1,5,64,8,51,5,0
Charlotte,"9,053",24,1,8,2,13,210,15,186,9,1
Cheboygan,"4,705",14,0,7,1,6,101,8,92,1,0
Chelsea,"5,225",2,0,1,0,1,49,2,46,1,0
Chesaning,"2,253",3,0,0,0,3,7,0,7,0,0
Chesterfield Township,"45,212",72,0,14,7,51,722,97,593,32,2
Chikaming Township,"3,083",3,0,1,0,2,46,14,31,1,0
Chocolay Township,"5,948",16,0,1,0,15,33,5,25,3,1
Clare,"3,058",7,1,5,0,1,34,6,23,5,0
Clarkston,893,0,0,0,0,0,6,1,5,0,0
Clawson,"11,994",18,0,4,1,13,64,8,53,3,0
Clayton Township,"7,113",12,0,4,0,8,39,12,24,3,0
Clay Township,"8,845",19,0,7,0,12,90,34,53,3,1
Clinton,"2,253",1,0,0,0,1,6,1,3,2,1
Clinton Township,"100,999",369,3,51,40,275,"1,531",277,"1,099",155,8
Clio,"2,495",4,0,0,0,4,48,13,34,1,0
Coldwater,"10,750",43,0,20,1,22,267,32,230,5,1
Coleman,"1,191",1,0,0,0,1,14,1,12,1,0
Coloma Township,"6,362",11,0,6,0,5,121,28,92,1,3
Colon,"1,150",1,0,0,0,1,32,5,27,0,0
Columbia Township,"7,379",17,0,4,2,11,81,17,61,3,1
Commerce Township,"38,342",21,1,4,5,11,282,36,235,11,2
Constantine,"2,042",7,0,3,0,4,37,7,26,4,0
Corunna,"3,386",8,0,7,0,1,34,7,26,1,0
Covert Township,"2,831",8,0,1,0,7,56,16,37,3,0
Croswell,"2,278",10,0,1,0,9,35,4,28,3,0
Crystal Falls,"1,380",1,0,1,0,0,12,2,10,0,0
Davison,"4,891",12,0,8,0,4,64,9,51,4,0
Davison Township,"19,029",29,0,6,3,20,160,35,121,4,0
Dearborn,"93,889",256,0,38,51,167,"2,272",218,"1,776",278,11
Dearborn Heights,"55,454",228,0,23,44,161,"1,146",271,743,132,6
Decatur,"1,755",15,1,6,1,7,60,14,46,0,0
Denton Township,"5,324",1,0,0,0,1,55,5,49,1,0
Detroit,"670,792","13,796",267,697,"2,639","10,193","30,458","8,258","14,045","8,155",869
Dewitt,"4,754",2,0,0,0,2,19,3,14,2,2
Dewitt Township,"14,799",21,0,7,2,12,133,26,103,4,2
Dryden Township,"4,767",3,0,1,0,2,28,6,20,2,1
Durand,"3,312",8,0,3,0,5,42,5,35,2,0
East Grand Rapids,"11,812",6,0,5,1,0,195,27,164,4,0
