Table 8,,,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2015",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Addison Township,"6,541",8,0,3,,0,5,38,12,23,3,0,
Adrian Township,"6,352",1,0,0,,0,1,8,1,7,0,0,
Akron,392,1,0,1,,0,0,11,4,7,0,0,
Albion,"8,184",88,0,8,,9,71,218,58,150,10,0,
Allegan,"5,088",16,0,5,,2,9,53,7,42,4,0,
Allen Park,"27,422",45,0,7,,7,31,543,95,384,64,1,
Alma,"9,200",15,0,9,,0,6,134,16,117,1,2,
Almont,"2,700",7,0,3,,0,4,36,12,23,1,0,
Alpena,"10,193",29,1,18,,3,7,205,30,170,5,0,
Ann Arbor,"118,730",228,0,58,,42,128,"2,364",274,"2,018",72,5,
Argentine Township,"6,635",7,0,2,,0,5,48,14,31,3,0,
Armada,"1,748",0,0,0,,0,0,3,1,2,0,0,
Auburn Hills,"21,955",49,0,9,,10,30,620,48,537,35,0,
Augusta,907,0,0,0,,0,0,6,1,4,1,0,
Bad Axe,"3,005",2,0,1,,0,1,69,4,63,2,0,
Bancroft,521,0,0,0,,0,0,6,0,6,0,0,
Bangor,"1,852",3,0,1,,0,2,28,5,22,1,2,
Baroda-Lake Township,"3,785",4,0,3,,0,1,60,11,43,6,0,
Barryton,360,0,0,0,,0,0,5,0,5,0,0,
Barry Township,"3,409",8,0,3,,0,5,24,7,16,1,0,
Bath Township,"12,030",17,0,6,,3,8,145,36,106,3,2,
Battle Creek,"61,240",462,4,72,,63,323,"2,235",647,"1,516",72,15,
Bay City,"33,965",206,0,49,,29,128,"1,088",312,737,39,5,
Beaverton,"1,057",3,0,1,,0,2,12,1,11,0,1,
Belding,"5,792",8,0,5,,0,3,53,5,46,2,0,
Bellaire,"1,068",2,0,1,,0,1,8,0,8,0,0,
Belleville,"3,845",16,0,6,,2,8,78,13,61,4,0,
Benton Harbor,"10,012",226,3,13,,64,146,402,121,265,16,6,
Berkley,"15,349",50,0,2,,2,46,122,43,73,6,0,
Berrien Springs-Oronoko Township,"9,124",17,0,8,,3,6,89,13,74,2,0,
Beverly Hills,"10,493",1,0,0,,0,1,54,3,51,0,2,
Big Rapids,"10,445",20,0,4,,0,16,169,23,144,2,2,
